Time: 27.0 [(0.0, 0.0), (301.0, 180.0), (397.0, 180.0), (579.0, 182.0), (731.0, 180.0)]
Time: 28.0 [(0.0, 0.0), (278.0, 180.0), (369.0, 180.0), (553.0, 182.0), (701.0, 180.0)]
Time: 29.0 [(0.0, 0.0), (255.0, 180.0), (341.0, 180.0), (527.0, 182.0), (671.0, 180.0)]
Time: 30.0 [(0.0, 0.0), (232.0, 180.0), (313.0, 180.0), (501.0, 182.0), (641.0, 180.0)]
Time: 31.0 [(0.0, 0.0), (209.0, 180.0), (285.0, 180.0), (475.0, 182.0), (611.0, 180.0)]
Time: 32.0 [(761.0, 180.0), (186.0, 180.0), (257.0, 180.0), (449.0, 182.0), (581.0, 180.0)]
Time: 33.0 [(755.0, 180.0), (163.0, 180.0), (257.0, 180.0), (423.0, 182.0), (551.0, 180.0)]
Time: 34.0 [(749.0, 180.0), (140.0, 180.0), (229.0, 180.0), (397.0, 182.0), (521.0, 180.0)]
Time: 35.0 [(743.0, 180.0), (117.0, 180.0), (201.0, 180.0), (371.0, 182.0), (491.0, 180.0)]
Time: 36.0 [(737.0, 180.0), (94.0, 180.0), (173.0, 180.0), (345.0, 182.0), (461.0, 180.0)]
Time: 37.0 [(731.0, 180.0), (0.0, 0.0), (145.0, 180.0), (319.0, 182.0), (431.0, 180.0)]
Time: 38.0 [(725.0, 180.0), (0.0, 0.0), (145.0, 180.0), (293.0, 182.0), (401.0, 180.0)]
Time: 39.0 [(719.0, 180.0), (0.0, 0.0), (117.0, 180.0), (267.0, 182.0), (371.0, 180.0)]
Time: 40.0 [(713.0, 180.0), (0.0, 0.0), (0.0, 0.0), (241.0, 182.0), (341.0, 180.0)]
Time: 41.0 [(707.0, 180.0), (0.0, 0.0), (0.0, 0.0), (215.0, 182.0), (311.0, 180.0)]
Time: 42.0 [(701.0, 180.0), (0.0, 0.0), (0.0, 0.0), (189.0, 182.0), (281.0, 180.0)]
Time: 43.0 [(695.0, 180.0), (0.0, 0.0), (0.0, 0.0), (163.0, 182.0), (251.0, 180.0)]
Time: 44.0 [(689.0, 180.0), (0.0, 0.0), (0.0, 0.0), (137.0, 182.0), (221.0, 180.0)]
Time: 45.0 [(683.0, 180.0), (0.0, 0.0), (0.0, 0.0), (111.0, 182.0), (191.0, 180.0)]
Time: 46.0 [(677.0, 180.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (161.0, 180.0)]
Time: 47.0 [(671.0, 180.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (131.0, 180.0)]
Time: 48.0 [(665.0, 180.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (131.0, 180.0)]
Time: 49.0 [(659.0, 180.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (101.0, 180.0)]
Time: 50.0 [(653.0, 180.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0)]
Time: 51.0 [(647.0, 180.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0)]
Time: 52.0 [(641.0, 180.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0)]
Time: 53.0 [(635.0, 180.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0)]
Time: 54.0 [(629.0, 180.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0)]
Time: 55.0 [(623.0, 180.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0)]
Time: 56.0 [(617.0, 180.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0)]
Time: 57.0 [(611.0, 180.0), (761.0, 180.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0)]
Time: 58.0 [(605.0, 180.0), (746.0, 180.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0)]
Time: 59.0 [(599.0, 180.0), (731.0, 180.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0)]
Time: 60.0 [(593.0, 180.0), (716.0, 180.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0)]
Time: 61.0 [(587.0, 180.0), (701.0, 180.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0)]
Time: 62.0 [(581.0, 180.0), (686.0, 180.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0)]
Time: 63.0 [(575.0, 180.0), (671.0, 180.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0)]
Time: 64.0 [(569.0, 180.0), (656.0, 180.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0)]
Time: 65.0 [(563.0, 180.0), (641.0, 180.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0)]
Time: 66.0 [(557.0, 180.0), (641.0, 180.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0)]
Time: 67.0 [(551.0, 180.0), (626.0, 180.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0)]
Time: 68.0 [(545.0, 180.0), (626.0, 180.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0)]
Time: 69.0 [(539.0, 180.0), (611.0, 180.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0)]
Time: 70.0 [(533.0, 180.0), (611.0, 180.0), (0.0, 0.0), (0.0, 0.0), (0.0, 0.0)]
Time: 71.0 [(527.0, 180.0), (611.0, 180.0), (761.0, 180.0), (0.0, 0.0), (0.0, 0.0)]
Time: 72.0 [(521.0, 180.0), (596.0, 180.0), (738.0, 180.0), (0.0, 0.0), (0.0, 0.0)]
Time: 73.0 [(515.0, 180.0), (596.0, 180.0), (715.0, 180.0), (0.0, 0.0), (0.0, 0.0)]
Time: 74.0 [(509.0, 180.0), (581.0, 180.0), (692.0, 180.0), (0.0, 0.0), (0.0, 0.0)]
Time: 75.0 [(503.0, 180.0), (581.0, 180.0), (669.0, 180.0), (0.0, 0.0), (0.0, 0.0)]
Time: 76.0 [(497.0, 180.0), (581.0, 180.0), (669.0, 180.0), (0.0, 0.0), (0.0, 0.0)]
Time: 77.0 [(491.0, 180.0), (566.0, 180.0), (646.0, 180.0), (0.0, 0.0), (0.0, 0.0)]
Time: 78.0 [(485.0, 180.0), (566.0, 180.0), (646.0, 180.0), (0.0, 0.0), (0.0, 0.0)]
Time: 79.0 [(479.0, 180.0), (551.0, 180.0), (623.0, 180.0), (0.0, 0.0), (0.0, 0.0)]
Time: 80.0 [(473.0, 180.0), (551.0, 180.0), (623.0, 180.0), (0.0, 0.0), (0.0, 0.0)]
Time: 81.0 [(467.0, 180.0), (551.0, 180.0), (623.0, 180.0), (0.0, 0.0), (0.0, 0.0)]
Time: 82.0 [(461.0, 180.0), (536.0, 180.0), (623.0, 180.0), (0.0, 0.0), (0.0, 0.0)]
